,start station name,end station name,number of trips
1587,Liberty Light Rail,Union St,4
1588,Liberty Light Rail,Van Vorst Park,160
1589,Liberty Light Rail,Warren St,119
1590,Liberty Light Rail,Washington St,63
1591,Liberty Light Rail,York St,29
1592,Lincoln Park,5 Corners Library,21
1593,Lincoln Park,Astor Place,61
1594,Lincoln Park,Baldwin at Montgomery,14
1595,Lincoln Park,Bergen Ave,8
1596,Lincoln Park,Brunswick & 6th,3
1597,Lincoln Park,Brunswick St,6
1598,Lincoln Park,Christ Hospital,10
1599,Lincoln Park,City Hall,20
1600,Lincoln Park,Columbus Drive,2
1601,Lincoln Park,Communipaw & Berry Lane,9
1602,Lincoln Park,Danforth Light Rail,1
1603,Lincoln Park,Dey St,44
1604,Lincoln Park,Dixon Mills,2
1605,Lincoln Park,Essex Light Rail,9
1606,Lincoln Park,Exchange Place,23
1607,Lincoln Park,Fairmount Ave,47
1608,Lincoln Park,Glenwood Ave,21
1609,Lincoln Park,Grand St,6
1610,Lincoln Park,Grove St PATH,30
1611,Lincoln Park,Hamilton Park,33
1612,Lincoln Park,Harborside,7
1613,Lincoln Park,Heights Elevator,1
1614,Lincoln Park,Hilltop,21
1615,Lincoln Park,JC Medical Center,5
1616,Lincoln Park,JCBS Depot,3
1617,Lincoln Park,Jackson Square,9
1618,Lincoln Park,Jersey & 3rd,1
1619,Lincoln Park,Jersey & 6th St,1
1620,Lincoln Park,Journal Square,69
1621,Lincoln Park,Lafayette Park,26
1622,Lincoln Park,Leonard Gordon Park,13
1623,Lincoln Park,Liberty Light Rail,12
1624,Lincoln Park,Lincoln Park,550
1625,Lincoln Park,Manila & 1st,8
1626,Lincoln Park,Marin Light Rail,3
1627,Lincoln Park,McGinley Square,79
1628,Lincoln Park,Monmouth and 6th,4
1629,Lincoln Park,Montgomery St,5
1630,Lincoln Park,Morris Canal,4
1631,Lincoln Park,Newark Ave,16
1632,Lincoln Park,Newport PATH,3
1633,Lincoln Park,Newport Pkwy,3
1634,Lincoln Park,Paulus Hook,14
1635,Lincoln Park,Pershing Field,9
1636,Lincoln Park,Riverview Park,3
1637,Lincoln Park,Sip Ave,1224
1638,Lincoln Park,Union St,28
1639,Lincoln Park,Van Vorst Park,30
1640,Lincoln Park,Warren St,8
1641,Lincoln Park,Washington St,6
1642,Lincoln Park,West Side Light Rail,3
1643,Lincoln Park,York St,36
1644,MLK Light Rail,Baldwin at Montgomery,1
1645,MLK Light Rail,Bethune Center,6
1646,MLK Light Rail,City Hall,5
1647,MLK Light Rail,Communipaw & Berry Lane,1
1648,MLK Light Rail,Danforth Light Rail,1
1649,MLK Light Rail,Dixon Mills,1
1650,MLK Light Rail,Exchange Place,11
1651,MLK Light Rail,Grove St PATH,4
1652,MLK Light Rail,JC Medical Center,1
1653,MLK Light Rail,MLK Light Rail,2
1654,MLK Light Rail,Marin Light Rail,1
1655,MLK Light Rail,NJCU,3
1656,MLK Light Rail,Newark Ave,4
1657,MLK Light Rail,Newport PATH,1
1658,MLK Light Rail,Newport Pkwy,2
1659,MLK Light Rail,Sip Ave,1
1660,MLK Light Rail,Van Vorst Park,2
1661,Manila & 1st,5 Corners Library,22
1662,Manila & 1st,Astor Place,12
1663,Manila & 1st,Baldwin at Montgomery,22
1664,Manila & 1st,Bergen Ave,1
1665,Manila & 1st,Bethune Center,1
1666,Manila & 1st,Brunswick & 6th,458
1667,Manila & 1st,Brunswick St,220
1668,Manila & 1st,Christ Hospital,20
1669,Manila & 1st,City Hall,175
1670,Manila & 1st,Columbus Drive,48
1671,Manila & 1st,Communipaw & Berry Lane,7
1672,Manila & 1st,Dixon Mills,54
1673,Manila & 1st,E 32 St & Park Ave,1
1674,Manila & 1st,Essex Light Rail,64
1675,Manila & 1st,Exchange Place,422
1676,Manila & 1st,Fairmount Ave,2
1677,Manila & 1st,Glenwood Ave,20
1678,Manila & 1st,Grand St,31
1679,Manila & 1st,Grove St PATH,444
1680,Manila & 1st,Hamilton Park,1424
1681,Manila & 1st,Harborside,254
1682,Manila & 1st,Heights Elevator,15
1683,Manila & 1st,Hilltop,38
1684,Manila & 1st,JC Medical Center,57
1685,Manila & 1st,JCBS Depot,1
1686,Manila & 1st,Jersey & 3rd,325
1687,Manila & 1st,Jersey & 6th St,531
1688,Manila & 1st,John St & William St,1
1689,Manila & 1st,Journal Square,1
1690,Manila & 1st,Lafayette Park,7
1691,Manila & 1st,Leonard Gordon Park,7
1692,Manila & 1st,Liberty Light Rail,47
1693,Manila & 1st,Lincoln Park,5
1694,Manila & 1st,Manila & 1st,123
1695,Manila & 1st,Marin Light Rail,106
1696,Manila & 1st,McGinley Square,49
1697,Manila & 1st,Monmouth and 6th,414
1698,Manila & 1st,Montgomery St,41
1699,Manila & 1st,Morris Canal,38
1700,Manila & 1st,Newark Ave,104
1701,Manila & 1st,Newport PATH,131
1702,Manila & 1st,Newport Pkwy,130
1703,Manila & 1st,Oakland Ave,29
1704,Manila & 1st,Paulus Hook,43
1705,Manila & 1st,Pershing Field,9
1706,Manila & 1st,Riverview Park,16
1707,Manila & 1st,Sip Ave,10
1708,Manila & 1st,Van Vorst Park,76
1709,Manila & 1st,W 11 St & 6 Ave,1
1710,Manila & 1st,Warren St,189
1711,Manila & 1st,Washington St,239
1712,Manila & 1st,York St,42
1713,Marin Light Rail,5 Corners Library,3
1714,Marin Light Rail,Astor Place,4
1715,Marin Light Rail,Baldwin at Montgomery,17
1716,Marin Light Rail,Bayside Park,1
1717,Marin Light Rail,Bergen Ave,3
1718,Marin Light Rail,Brunswick & 6th,198
1719,Marin Light Rail,Brunswick St,99
1720,Marin Light Rail,Christ Hospital,7
1721,Marin Light Rail,City Hall,466
1722,Marin Light Rail,Columbus Drive,237
1723,Marin Light Rail,Communipaw & Berry Lane,19
1724,Marin Light Rail,Dey St,3
1725,Marin Light Rail,Dixon Mills,35
1726,Marin Light Rail,E 110 St & Madison Ave,1
1727,Marin Light Rail,Essex Light Rail,369
1728,Marin Light Rail,Exchange Place,1450
1729,Marin Light Rail,Fairmount Ave,1
1730,Marin Light Rail,Garfield Ave Station,1
1731,Marin Light Rail,Glenwood Ave,1
1732,Marin Light Rail,Grand St,125
1733,Marin Light Rail,Grove St PATH,3216
1734,Marin Light Rail,Hamilton Park,184
1735,Marin Light Rail,Harborside,298
1736,Marin Light Rail,Heights Elevator,13
1737,Marin Light Rail,Hilltop,19
1738,Marin Light Rail,JC Medical Center,136
1739,Marin Light Rail,JCBS Depot,1
1740,Marin Light Rail,Jackson Square,3
1741,Marin Light Rail,Jersey & 3rd,67
1742,Marin Light Rail,Jersey & 6th St,82
1743,Marin Light Rail,Journal Square,6
1744,Marin Light Rail,Lafayette Park,20
1745,Marin Light Rail,Leonard Gordon Park,2
1746,Marin Light Rail,Liberty Light Rail,231
1747,Marin Light Rail,MLK Light Rail,1
1748,Marin Light Rail,Manila & 1st,117
1749,Marin Light Rail,Marin Light Rail,681
1750,Marin Light Rail,McGinley Square,6
1751,Marin Light Rail,Monmouth and 6th,47
1752,Marin Light Rail,Montgomery St,54
1753,Marin Light Rail,Morris Canal,170
1754,Marin Light Rail,Murray St & West St,1
1755,Marin Light Rail,Newark Ave,280
1756,Marin Light Rail,Newport PATH,250
1757,Marin Light Rail,Newport Pkwy,130
1758,Marin Light Rail,Oakland Ave,3
1759,Marin Light Rail,Paulus Hook,520
1760,Marin Light Rail,Pershing Field,7
1761,Marin Light Rail,Riverview Park,4
1762,Marin Light Rail,Sip Ave,16
1763,Marin Light Rail,Union St,2
1764,Marin Light Rail,Van Vorst Park,194
1765,Marin Light Rail,Vesey Pl & River Terrace,4
1766,Marin Light Rail,W 20 St & 11 Ave,1
1767,Marin Light Rail,W 46 St & 11 Ave,1
1768,Marin Light Rail,W Broadway & Spring Street,2
1769,Marin Light Rail,Warren St,232
1770,Marin Light Rail,Washington St,257
1771,Marin Light Rail,York St,73
1772,McGinley Square,5 Corners Library,43
1773,McGinley Square,Astor Place,287
1774,McGinley Square,Baldwin at Montgomery,109
1775,McGinley Square,Bayside Park,1
1776,McGinley Square,Bergen Ave,228
1777,McGinley Square,Bethune Center,1
1778,McGinley Square,Brunswick & 6th,15
1779,McGinley Square,Brunswick St,25
1780,McGinley Square,Christ Hospital,8
1781,McGinley Square,City Hall,69
1782,McGinley Square,Columbus Drive,11
1783,McGinley Square,Communipaw & Berry Lane,11
1784,McGinley Square,Danforth Light Rail,1
1785,McGinley Square,Dey St,11
1786,McGinley Square,Dixon Mills,17
1787,McGinley Square,Essex Light Rail,9
1788,McGinley Square,Exchange Place,155
1789,McGinley Square,Fairmount Ave,55
1790,McGinley Square,Glenwood Ave,5
1791,McGinley Square,Grand St,16
1792,McGinley Square,Grove St PATH,195
1793,McGinley Square,Hamilton Park,12
1794,McGinley Square,Harborside,77
1795,McGinley Square,Heights Elevator,5
1796,McGinley Square,Hilltop,55
1797,McGinley Square,JC Medical Center,18
1798,McGinley Square,JCBS Depot,1
1799,McGinley Square,Jackson Square,53
1800,McGinley Square,Jersey & 3rd,9
1801,McGinley Square,Jersey & 6th St,11
1802,McGinley Square,Journal Square,154
1803,McGinley Square,Lafayette Park,25
1804,McGinley Square,Leonard Gordon Park,7
1805,McGinley Square,Liberty Light Rail,46
1806,McGinley Square,Lincoln Park,169
1807,McGinley Square,MLK Light Rail,3
1808,McGinley Square,Manila & 1st,53
1809,McGinley Square,Marin Light Rail,2
1810,McGinley Square,McGinley Square,102
1811,McGinley Square,Monmouth and 6th,13
1812,McGinley Square,Montgomery St,37
1813,McGinley Square,Morris Canal,3
1814,McGinley Square,NJCU,4
1815,McGinley Square,Newark Ave,52
1816,McGinley Square,Newport PATH,35
1817,McGinley Square,Newport Pkwy,13
1818,McGinley Square,Oakland Ave,18
1819,McGinley Square,Paulus Hook,55
1820,McGinley Square,Pershing Field,23
1821,McGinley Square,Riverview Park,2
1822,McGinley Square,Sip Ave,3032
1823,McGinley Square,Union St,106
1824,McGinley Square,Van Vorst Park,64
1825,McGinley Square,Warren St,35
1826,McGinley Square,Washington St,8
1827,McGinley Square,West Side Light Rail,33
1828,McGinley Square,York St,22
1829,Monmouth and 6th,5 Corners Library,7
1830,Monmouth and 6th,Astor Place,3
1831,Monmouth and 6th,Baldwin at Montgomery,3
1832,Monmouth and 6th,Bergen Ave,2
1833,Monmouth and 6th,Brunswick & 6th,37
1834,Monmouth and 6th,Brunswick St,45
1835,Monmouth and 6th,Christ Hospital,2
1836,Monmouth and 6th,City Hall,81
1837,Monmouth and 6th,Columbus Drive,33
1838,Monmouth and 6th,Communipaw & Berry Lane,1
1839,Monmouth and 6th,Dixon Mills,30
1840,Monmouth and 6th,Essex Light Rail,14
1841,Monmouth and 6th,Exchange Place,132
1842,Monmouth and 6th,Grand St,34
1843,Monmouth and 6th,Grove St PATH,3137
1844,Monmouth and 6th,Hamilton Park,117
1845,Monmouth and 6th,Harborside,96
1846,Monmouth and 6th,Heights Elevator,14
1847,Monmouth and 6th,Hilltop,17
1848,Monmouth and 6th,JC Medical Center,30
1849,Monmouth and 6th,Jersey & 3rd,257
1850,Monmouth and 6th,Jersey & 6th St,49
1851,Monmouth and 6th,Journal Square,2
1852,Monmouth and 6th,Lafayette Park,15
1853,Monmouth and 6th,Liberty Light Rail,18
1854,Monmouth and 6th,Lincoln Park,1
1855,Monmouth and 6th,Manila & 1st,668
1856,Monmouth and 6th,Marin Light Rail,36
1857,Monmouth and 6th,McGinley Square,6
1858,Monmouth and 6th,Monmouth and 6th,80
1859,Monmouth and 6th,Montgomery St,23
1860,Monmouth and 6th,Morris Canal,10
1861,Monmouth and 6th,Newark Ave,312
1862,Monmouth and 6th,Newport PATH,93
1863,Monmouth and 6th,Newport Pkwy,47
1864,Monmouth and 6th,Oakland Ave,3
1865,Monmouth and 6th,Paulus Hook,105
1866,Monmouth and 6th,Pershing Field,46
1867,Monmouth and 6th,Riverview Park,8
1868,Monmouth and 6th,Sip Ave,12
1869,Monmouth and 6th,Union St,1
1870,Monmouth and 6th,Van Vorst Park,67
1871,Monmouth and 6th,Warren St,145
1872,Monmouth and 6th,Washington St,46
1873,Monmouth and 6th,York St,9
1874,Montgomery St,Astor Place,3
1875,Montgomery St,Baldwin at Montgomery,43
1876,Montgomery St,Bergen Ave,3
1877,Montgomery St,Brunswick & 6th,12
1878,Montgomery St,Brunswick St,54
1879,Montgomery St,Christ Hospital,6
1880,Montgomery St,City Hall,129
1881,Montgomery St,Cliff St & Fulton St_1,1
1882,Montgomery St,Columbus Drive,72
1883,Montgomery St,Communipaw & Berry Lane,29
1884,Montgomery St,Dixon Mills,50
1885,Montgomery St,Essex Light Rail,62
1886,Montgomery St,Exchange Place,61
1887,Montgomery St,Fairmount Ave,2
1888,Montgomery St,Glenwood Ave,3
1889,Montgomery St,Grand St,19
1890,Montgomery St,Grove St PATH,901
1891,Montgomery St,Hamilton Park,71
1892,Montgomery St,Harborside,44
1893,Montgomery St,Heights Elevator,7
1894,Montgomery St,Hilltop,10
1895,Montgomery St,JC Medical Center,45
1896,Montgomery St,Jersey & 3rd,23
1897,Montgomery St,Jersey & 6th St,12
1898,Montgomery St,Journal Square,4
1899,Montgomery St,Lafayette Park,17
1900,Montgomery St,Leonard Gordon Park,25
1901,Montgomery St,Liberty Light Rail,40
1902,Montgomery St,Lincoln Park,7
1903,Montgomery St,Manila & 1st,49
1904,Montgomery St,Marin Light Rail,46
1905,Montgomery St,McGinley Square,31
1906,Montgomery St,Monmouth and 6th,50
1907,Montgomery St,Montgomery St,97
1908,Montgomery St,Morris Canal,33
1909,Montgomery St,Newark Ave,81
1910,Montgomery St,Newport PATH,32
1911,Montgomery St,Newport Pkwy,40
1912,Montgomery St,Oakland Ave,2
1913,Montgomery St,Paulus Hook,121
1914,Montgomery St,Pershing Field,26
1915,Montgomery St,Riverview Park,3
1916,Montgomery St,Sip Ave,13
1917,Montgomery St,Union St,3
1918,Montgomery St,Van Vorst Park,91
1919,Montgomery St,Warren St,60
1920,Montgomery St,Washington St,47
1921,Montgomery St,York St,44
1922,Morris Canal,5 Corners Library,7
1923,Morris Canal,Astor Place,1
1924,Morris Canal,Baldwin at Montgomery,6
1925,Morris Canal,Bayside Park,1
1926,Morris Canal,Broadway & Battery Pl,1
1927,Morris Canal,Brunswick & 6th,8
1928,Morris Canal,Brunswick St,28
1929,Morris Canal,Bus Slip & State St,2
1930,Morris Canal,Christ Hospital,4
1931,Morris Canal,City Hall,216
1932,Morris Canal,Columbus Drive,512
1933,Morris Canal,Communipaw & Berry Lane,14
1934,Morris Canal,Dey St,3
1935,Morris Canal,Dixon Mills,24
1936,Morris Canal,Essex Light Rail,242
1937,Morris Canal,Exchange Place,4604
1938,Morris Canal,Fairmount Ave,4
1939,Morris Canal,Glenwood Ave,1
1940,Morris Canal,Grand St,113
1941,Morris Canal,Grove St PATH,951
1942,Morris Canal,Hamilton Park,74
1943,Morris Canal,Harborside,277
1944,Morris Canal,Heights Elevator,8
1945,Morris Canal,Hilltop,3
1946,Morris Canal,JC Medical Center,211
1947,Morris Canal,Jersey & 3rd,32
1948,Morris Canal,Jersey & 6th St,56
1949,Morris Canal,Journal Square,6
1950,Morris Canal,Lafayette Park,4
1951,Morris Canal,Liberty Light Rail,87
1952,Morris Canal,Lincoln Park,3
1953,Morris Canal,Manila & 1st,35
1954,Morris Canal,Marin Light Rail,181
1955,Morris Canal,McGinley Square,9
1956,Morris Canal,Monmouth and 6th,11
1957,Morris Canal,Montgomery St,19
1958,Morris Canal,Morris Canal,488
1959,Morris Canal,Murray St & Greenwich St,1
1960,Morris Canal,Murray St & West St,1
1961,Morris Canal,Newark Ave,92
1962,Morris Canal,Newport PATH,288
1963,Morris Canal,Newport Pkwy,112
1964,Morris Canal,Oakland Ave,4
1965,Morris Canal,Paulus Hook,1201
1966,Morris Canal,Pershing Field,7
1967,Morris Canal,Riverview Park,2
1968,Morris Canal,Sip Ave,4
1969,Morris Canal,Union St,2
1970,Morris Canal,Van Vorst Park,91
1971,Morris Canal,Vesey Pl & River Terrace,9
1972,Morris Canal,W 16 St & The High Line,1
1973,Morris Canal,Warren St,238
1974,Morris Canal,Washington St,193
1975,Morris Canal,York St,42
1976,NJCU,Brunswick St,3
1977,NJCU,Columbia Park,1
1978,NJCU,Dey St,1
1979,NJCU,Exchange Place,7
1980,NJCU,Jersey & 3rd,3
1981,NJCU,Sip Ave,21
1982,NJCU,Warren St,1
1983,NJCU,West Side Light Rail,12
1984,Newark Ave,5 Corners Library,54
1985,Newark Ave,Astor Place,44
1986,Newark Ave,Baldwin at Montgomery,117
1987,Newark Ave,Bergen Ave,12
1988,Newark Ave,Broadway & W 29 St,1
1989,Newark Ave,Brunswick & 6th,484
1990,Newark Ave,Brunswick St,595
1991,Newark Ave,Christ Hospital,42
1992,Newark Ave,City Hall,197
1993,Newark Ave,Columbus Drive,161
1994,Newark Ave,Communipaw & Berry Lane,64
1995,Newark Ave,Dey St,11
1996,Newark Ave,Dixon Mills,249
1997,Newark Ave,Essex Light Rail,153
1998,Newark Ave,Exchange Place,309
1999,Newark Ave,Fairmount Ave,20
2000,Newark Ave,Garfield Ave Station,2
2001,Newark Ave,Glenwood Ave,3
2002,Newark Ave,Grand St,110
2003,Newark Ave,Grove St PATH,1049
2004,Newark Ave,Hamilton Park,1217
2005,Newark Ave,Harborside,281
2006,Newark Ave,Heights Elevator,27
2007,Newark Ave,Hilltop,89
2008,Newark Ave,JC Medical Center,310
2009,Newark Ave,Jackson Square,5
2010,Newark Ave,Jersey & 3rd,192
2011,Newark Ave,Jersey & 6th St,419
2012,Newark Ave,Journal Square,23
2013,Newark Ave,Lafayette Park,49
2014,Newark Ave,Leonard Gordon Park,12
2015,Newark Ave,Liberty Light Rail,217
2016,Newark Ave,Lincoln Park,12
2017,Newark Ave,MLK Light Rail,3
2018,Newark Ave,Manila & 1st,82
2019,Newark Ave,Marin Light Rail,224
2020,Newark Ave,McGinley Square,23
2021,Newark Ave,Monmouth and 6th,470
2022,Newark Ave,Montgomery St,88
2023,Newark Ave,Morris Canal,107
2024,Newark Ave,NJCU,7
2025,Newark Ave,Newark Ave,216
2026,Newark Ave,Newport PATH,235
2027,Newark Ave,Newport Pkwy,148
2028,Newark Ave,Oakland Ave,81
2029,Newark Ave,Paulus Hook,181
2030,Newark Ave,Pershing Field,24
2031,Newark Ave,Riverview Park,25
2032,Newark Ave,Sip Ave,38
2033,Newark Ave,Union St,2
2034,Newark Ave,Van Vorst Park,368
2035,Newark Ave,Warren St,276
2036,Newark Ave,Washington St,221
2037,Newark Ave,York St,113
2038,Newport PATH,5 Corners Library,41
2039,Newport PATH,Baldwin at Montgomery,24
2040,Newport PATH,Bergen Ave,6
2041,Newport PATH,Broadway & Moylan Pl,1
2042,Newport PATH,Broadway & W 58 St,1
2043,Newport PATH,Brunswick & 6th,304
2044,Newport PATH,Brunswick St,84
2045,Newport PATH,Christ Hospital,20
2046,Newport PATH,City Hall,223
2047,Newport PATH,Columbus Drive,386
2048,Newport PATH,Communipaw & Berry Lane,15
2049,Newport PATH,Dey St,8
2050,Newport PATH,Dixon Mills,37
2051,Newport PATH,Essex Light Rail,246
2052,Newport PATH,Exchange Place,946
2053,Newport PATH,Fairmount Ave,7
2054,Newport PATH,Garfield Ave Station,1
2055,Newport PATH,Glenwood Ave,5
2056,Newport PATH,Grand St,177
2057,Newport PATH,Grove St PATH,517
2058,Newport PATH,Hamilton Park,2557
2059,Newport PATH,Harborside,2173
2060,Newport PATH,Heights Elevator,207
2061,Newport PATH,Hilltop,32
2062,Newport PATH,JC Medical Center,43
2063,Newport PATH,JCBS Depot,2
2064,Newport PATH,Jackson Square,1
2065,Newport PATH,Jersey & 3rd,267
2066,Newport PATH,Jersey & 6th St,325
2067,Newport PATH,Journal Square,26
2068,Newport PATH,Lafayette Park,5
2069,Newport PATH,Leonard Gordon Park,76
2070,Newport PATH,Liberty Light Rail,83
2071,Newport PATH,Lincoln Park,4
2072,Newport PATH,MLK Light Rail,1
2073,Newport PATH,Maiden Ln & Pearl St,1
2074,Newport PATH,Manila & 1st,118
2075,Newport PATH,Marin Light Rail,246
2076,Newport PATH,McGinley Square,12
2077,Newport PATH,Monmouth and 6th,140
2078,Newport PATH,Montgomery St,29
2079,Newport PATH,Morris Canal,291
2080,Newport PATH,Newark Ave,171
2081,Newport PATH,Newport PATH,393
2082,Newport PATH,Newport Pkwy,1773
2083,Newport PATH,Oakland Ave,174
2084,Newport PATH,Paulus Hook,539
2085,Newport PATH,Pershing Field,91
2086,Newport PATH,Riverview Park,127
2087,Newport PATH,Sip Ave,18
2088,Newport PATH,Union St,4
2089,Newport PATH,Van Vorst Park,188
2090,Newport PATH,Vesey Pl & River Terrace,1
2091,Newport PATH,W 34 St & 11 Ave,2
2092,Newport PATH,W 46 St & 11 Ave,2
2093,Newport PATH,Warren St,1116
2094,Newport PATH,Washington St,840
2095,Newport PATH,York St,120
2096,Newport Pkwy,12 Ave & W 40 St,2
2097,Newport Pkwy,5 Corners Library,16
2098,Newport Pkwy,Astor Place,5
2099,Newport Pkwy,Baldwin at Montgomery,56
2100,Newport Pkwy,Bergen Ave,8
2101,Newport Pkwy,Broadway & Moylan Pl,1
2102,Newport Pkwy,Broadway & W 29 St,1
2103,Newport Pkwy,Broadway & W 58 St,2
2104,Newport Pkwy,Brunswick & 6th,42
2105,Newport Pkwy,Brunswick St,96
2106,Newport Pkwy,Central Park S & 6 Ave,1
2107,Newport Pkwy,Central Park West & W 68 St,2
2108,Newport Pkwy,Christ Hospital,14
2109,Newport Pkwy,City Hall,189
2110,Newport Pkwy,Columbus Drive,466
2111,Newport Pkwy,Communipaw & Berry Lane,4
2112,Newport Pkwy,Dey St,9
2113,Newport Pkwy,Dixon Mills,39
2114,Newport Pkwy,E 47 St & Park Ave,1
2115,Newport Pkwy,E 55 St & Lexington Ave,1
2116,Newport Pkwy,Essex Light Rail,324
2117,Newport Pkwy,Exchange Place,1131
2118,Newport Pkwy,Fairmount Ave,4
2119,Newport Pkwy,Fulton St & Broadway,1
2120,Newport Pkwy,Garfield Ave Station,1
2121,Newport Pkwy,Glenwood Ave,6
2122,Newport Pkwy,Grand St,128
2123,Newport Pkwy,Grove St PATH,358
2124,Newport Pkwy,Hamilton Park,412
2125,Newport Pkwy,Harborside,751
2126,Newport Pkwy,Heights Elevator,116
2127,Newport Pkwy,Hilltop,33
2128,Newport Pkwy,JC Medical Center,62
2129,Newport Pkwy,Jackson Square,1
2130,Newport Pkwy,Jersey & 3rd,106
2131,Newport Pkwy,Jersey & 6th St,108
2132,Newport Pkwy,Journal Square,16
2133,Newport Pkwy,Lafayette Park,12
2134,Newport Pkwy,Leonard Gordon Park,9
2135,Newport Pkwy,Lexington Ave & E 24 St,1
2136,Newport Pkwy,Liberty Light Rail,51
2137,Newport Pkwy,Lincoln Park,4
2138,Newport Pkwy,MLK Light Rail,1
2139,Newport Pkwy,Manila & 1st,152
2140,Newport Pkwy,Marin Light Rail,150
2141,Newport Pkwy,McGinley Square,23
2142,Newport Pkwy,Monmouth and 6th,37
2143,Newport Pkwy,Montgomery St,43
2144,Newport Pkwy,Morris Canal,149
2145,Newport Pkwy,Newark Ave,157
2146,Newport Pkwy,Newport PATH,1868
2147,Newport Pkwy,Newport Pkwy,990
2148,Newport Pkwy,Oakland Ave,72
2149,Newport Pkwy,Paulus Hook,344
2150,Newport Pkwy,Pershing Field,89
2151,Newport Pkwy,Pier 40 - Hudson River Park,1
2152,Newport Pkwy,Riverview Park,53
2153,Newport Pkwy,Sip Ave,22
2154,Newport Pkwy,South End Ave & Liberty St,1
2155,Newport Pkwy,Sullivan St & Washington Sq,1
2156,Newport Pkwy,Union St,1
2157,Newport Pkwy,Van Vorst Park,117
2158,Newport Pkwy,W 52 St & 5 Ave,1
2159,Newport Pkwy,Warren St,589
2160,Newport Pkwy,Washington St,604
2161,Newport Pkwy,York St,53
2162,Oakland Ave,5 Corners Library,145
2163,Oakland Ave,Astor Place,1
2164,Oakland Ave,Baldwin at Montgomery,12
2165,Oakland Ave,Bergen Ave,7
2166,Oakland Ave,Brunswick & 6th,32
2167,Oakland Ave,Brunswick St,55
2168,Oakland Ave,Christ Hospital,20
2169,Oakland Ave,City Hall,150
2170,Oakland Ave,Columbus Drive,18
2171,Oakland Ave,Communipaw & Berry Lane,2
2172,Oakland Ave,Dey St,56
2173,Oakland Ave,Dixon Mills,47
2174,Oakland Ave,Essex Light Rail,55
2175,Oakland Ave,Exchange Place,87
2176,Oakland Ave,Fairmount Ave,2
2177,Oakland Ave,Glenwood Ave,13
2178,Oakland Ave,Grand St,6
2179,Oakland Ave,Grove St PATH,111
2180,Oakland Ave,Hamilton Park,31
2181,Oakland Ave,Harborside,40
2182,Oakland Ave,Heights Elevator,108
2183,Oakland Ave,Hilltop,137
2184,Oakland Ave,JC Medical Center,59
2185,Oakland Ave,Jersey & 3rd,10
2186,Oakland Ave,Jersey & 6th St,2
2187,Oakland Ave,Journal Square,1362
2188,Oakland Ave,Lafayette Park,2
2189,Oakland Ave,Leonard Gordon Park,8
2190,Oakland Ave,Liberty Light Rail,7
2191,Oakland Ave,Lincoln Park,3
2192,Oakland Ave,Manila & 1st,19
2193,Oakland Ave,Marin Light Rail,95
2194,Oakland Ave,McGinley Square,29
2195,Oakland Ave,Monmouth and 6th,3
2196,Oakland Ave,Morris Canal,8
2197,Oakland Ave,NJCU,1
2198,Oakland Ave,Newark Ave,223
2199,Oakland Ave,Newport PATH,309
2200,Oakland Ave,Newport Pkwy,153
2201,Oakland Ave,Oakland Ave,129
2202,Oakland Ave,Paulus Hook,18
2203,Oakland Ave,Pershing Field,193
2204,Oakland Ave,Riverview Park,52
2205,Oakland Ave,Sip Ave,1425
2206,Oakland Ave,Union St,4
2207,Oakland Ave,Van Vorst Park,13
2208,Oakland Ave,Warren St,17
2209,Oakland Ave,Washington St,101
2210,Oakland Ave,York St,4
2211,Paulus Hook,5 Corners Library,39
2212,Paulus Hook,Astor Place,11
2213,Paulus Hook,Atlantic Ave & Furman St,4
2214,Paulus Hook,Baldwin at Montgomery,19
2215,Paulus Hook,Bayside Park,1
2216,Paulus Hook,Bergen Ave,1
2217,Paulus Hook,Brunswick & 6th,104
2218,Paulus Hook,Brunswick St,85
2219,Paulus Hook,Christ Hospital,9
2220,Paulus Hook,City Hall,379
2221,Paulus Hook,Columbia St & Kane St,1
2222,Paulus Hook,Columbus Drive,482
2223,Paulus Hook,Communipaw & Berry Lane,15
2224,Paulus Hook,Danforth Light Rail,1
2225,Paulus Hook,Dixon Mills,143
2226,Paulus Hook,E 33 St & 5 Ave,1
2227,Paulus Hook,Essex Light Rail,233
2228,Paulus Hook,Exchange Place,613
2229,Paulus Hook,FDR Drive & E 35 St,1
2230,Paulus Hook,Fairmount Ave,3
2231,Paulus Hook,Garfield Ave Station,2
2232,Paulus Hook,Glenwood Ave,25
2233,Paulus Hook,Grand St,193
2234,Paulus Hook,Grove St PATH,580
2235,Paulus Hook,Hamilton Park,410
2236,Paulus Hook,Harborside,352
2237,Paulus Hook,Heights Elevator,20
2238,Paulus Hook,Henry St & Atlantic Ave,8
2239,Paulus Hook,Hilltop,18
2240,Paulus Hook,JC Medical Center,189
2241,Paulus Hook,Jackson Square,6
2242,Paulus Hook,Jersey & 3rd,150
2243,Paulus Hook,Jersey & 6th St,62
2244,Paulus Hook,Journal Square,37
2245,Paulus Hook,Lafayette Park,39
2246,Paulus Hook,Leonard Gordon Park,2
2247,Paulus Hook,Liberty Light Rail,262
2248,Paulus Hook,Lincoln Park,4
2249,Paulus Hook,Manila & 1st,91
2250,Paulus Hook,Marin Light Rail,535
2251,Paulus Hook,McGinley Square,38
2252,Paulus Hook,Monmouth and 6th,134
2253,Paulus Hook,Montgomery St,96
